token_id,status,entity,access,architecture,material,eyes,interface,implant,mantle,background,signal,corruption
1,feasibility_only_not_final_art,entity.synthetic,access.root,architecture.singular,material.porcelain,eyes.biometric,interface.forensic_plate,implant.memory_spindle,mantle.archive_coat,background.evidence_void,signal.locked,corruption.intact
2,feasibility_only_not_final_art,entity.hollow,access.root,architecture.singular,material.carbon,eyes.void,interface.none,implant.root_port,mantle.cable_shroud,background.cold_storage,signal.silent,corruption.absence
3,feasibility_only_not_final_art,entity.specter,access.root,architecture.singular,material.reconstructed,eyes.fractured,interface.neural_veil,implant.signal_crown,mantle.split_shell,background.relay_well,signal.carrier_echo,corruption.packet_ghosting
4,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.porcelain,eyes.biometric,interface.null_mask,implant.antenna,mantle.archive_coat,background.rack_shadow,signal.locked,corruption.intact
5,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.biosynth,eyes.thermal,interface.null_mask,implant.none,mantle.field_collar,background.relay_well,signal.carrier_echo,corruption.checksum_burn
6,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.biosynth,eyes.thermal,interface.neural_veil,implant.none,mantle.archive_coat,background.rack_shadow,signal.carrier_echo,corruption.scan_shear
7,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.biosynth,eyes.thermal,interface.none,implant.none,mantle.split_shell,background.service_tunnel,signal.locked,corruption.intact
8,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.porcelain,eyes.thermal,interface.none,implant.none,mantle.archive_coat,background.relay_well,signal.intermittent,corruption.scan_shear
9,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.porcelain,eyes.thermal,interface.none,implant.none,mantle.field_collar,background.service_tunnel,signal.intermittent,corruption.scan_shear
10,feasibility_only_not_final_art,entity.hollow,access.user,architecture.sealed,material.porcelain,eyes.fractured,interface.skeletal_interface,implant.spinal_bus,mantle.ceramic_mantle,background.evidence_void,signal.intermittent,corruption.intact
11,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.ceramic,eyes.thermal,interface.respirator,implant.antenna,mantle.ceramic_mantle,background.cold_storage,signal.intermittent,corruption.scan_shear
12,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.biosynth,eyes.thermal,interface.none,implant.none,mantle.archive_coat,background.anechoic_room,signal.carrier_echo,corruption.scan_shear
13,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.porcelain,eyes.thermal,interface.forensic_plate,implant.neural_cable,mantle.field_collar,background.relay_well,signal.carrier_echo,corruption.intact
14,feasibility_only_not_final_art,entity.hollow,access.user,architecture.sealed,material.carbon,eyes.fractured,interface.neural_veil,implant.spinal_bus,mantle.ceramic_mantle,background.cold_storage,signal.locked,corruption.packet_ghosting
15,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.carbon,eyes.thermal,interface.respirator,implant.none,mantle.cable_shroud,background.service_tunnel,signal.locked,corruption.scan_shear
16,feasibility_only_not_final_art,entity.hollow,access.user,architecture.sealed,material.carbon,eyes.fractured,interface.none,implant.neural_cable,mantle.split_shell,background.evidence_void,signal.carrier_echo,corruption.intact
17,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.porcelain,eyes.thermal,interface.none,implant.spinal_bus,mantle.archive_coat,background.evidence_void,signal.intermittent,corruption.intact
18,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.biosynth,eyes.thermal,interface.respirator,implant.antenna,mantle.ceramic_mantle,background.rack_shadow,signal.locked,corruption.checksum_burn
19,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.reconstructed,eyes.thermal,interface.neural_veil,implant.antenna,mantle.ceramic_mantle,background.relay_well,signal.carrier_echo,corruption.scan_shear
20,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.carbon,eyes.fractured,interface.none,implant.neural_cable,mantle.field_collar,background.evidence_void,signal.intermittent,corruption.intact
21,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.biosynth,eyes.biometric,interface.none,implant.spinal_bus,mantle.field_collar,background.evidence_void,signal.carrier_echo,corruption.intact
22,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.ceramic,eyes.biometric,interface.neural_veil,implant.neural_cable,mantle.split_shell,background.rack_shadow,signal.locked,corruption.intact
23,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.carbon,eyes.thermal,interface.none,implant.spinal_bus,mantle.field_collar,background.evidence_void,signal.intermittent,corruption.scan_shear
24,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.carbon,eyes.biometric,interface.forensic_plate,implant.spinal_bus,mantle.ceramic_mantle,background.cold_storage,signal.locked,corruption.memory_bleed
25,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.biosynth,eyes.void,interface.none,implant.none,mantle.archive_coat,background.cold_storage,signal.intermittent,corruption.scan_shear
26,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.carbon,eyes.thermal,interface.none,implant.neural_cable,mantle.archive_coat,background.evidence_void,signal.carrier_echo,corruption.packet_ghosting
27,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.biosynth,eyes.biometric,interface.respirator,implant.none,mantle.archive_coat,background.evidence_void,signal.locked,corruption.intact
28,feasibility_only_not_final_art,entity.synthetic,access.user,architecture.sealed,material.biosynth,eyes.thermal,interface.forensic_plate,implant.neural_cable,mantle.field_collar,background.anechoic_room,signal.intermittent,corruption.intact
29,feasibility_only_not_final_art,entity.human,access.user,architecture.sealed,material.biosynth,eyes.void,interface.respirator,implant.none,mantle.archive_coat,background.relay_well,signal.intermittent,corruption.intact
